state,state_abbr,sector_abbr,year,observed_capacity_kw,observed_count
Maryland,MD,res,2014,70692.99999999999,8730.000000000002
Maryland,MD,res,2016,379263.94827586197,39851.99999999997
Maryland,MD,res,2018,574596.381652141,60507.0
Massachusetts,MA,com,2014,526685.112,2297.0
Massachusetts,MA,com,2016,935240.1250000001,3160.0
Massachusetts,MA,com,2018,1737624.6149253796,4353.0
Massachusetts,MA,res,2014,125450.32199999993,19423.0
Massachusetts,MA,res,2016,440303.68952497,62208.00000000003
Massachusetts,MA,res,2018,619755.012249999,85344.0
Michigan,MI,com,2014,6050.999999999997,248.9999999999999
Michigan,MI,com,2016,14571.0,366.0000000000001
Michigan,MI,com,2018,22508.120689655207,523.9999999999999
Michigan,MI,res,2014,8404.000000000002,1164.9999999999995
Michigan,MI,res,2016,14310.466709483297,1864.0000000000005
Michigan,MI,res,2018,29571.31670948328,4129.999999999998
Minnesota,MN,com,2014,13755.130999999998,392.99999999999926
Minnesota,MN,com,2016,78956.72640229887,758.0000000000006
Minnesota,MN,com,2018,630483.7212298848,1695.0000000000014
Minnesota,MN,res,2014,4063.7645312500017,672.9999999999999
Minnesota,MN,res,2016,12253.0636117098,1781.9999999999995
Minnesota,MN,res,2018,27748.214761135107,3488.0
Mississippi,MS,com,2014,299.9999999999999,3.9999999999999996
Mississippi,MS,com,2016,663.9399999999999,9.000000000000004
Mississippi,MS,com,2018,1960.9399999999987,34.99999999999999
Mississippi,MS,res,2014,246.44999999999985,18.000000000000004
Mississippi,MS,res,2016,403.32999999999987,46.999999999999986
Mississippi,MS,res,2018,1509.2064367816097,193.99999999999994
Missouri,MO,com,2014,54396.00000000003,2205.0000000000005
Missouri,MO,com,2016,70551.46000000002,2929.9999999999995
Missouri,MO,com,2018,82743.96316091956,3122.0
Missouri,MO,res,2014,37486.00000000001,3446.000000000003
Missouri,MO,res,2016,54191.803000000014,4962.999999999999
Missouri,MO,res,2018,73903.96300000005,6721.999999999996
Montana,MT,com,2014,183.90804597701094,20.0
Montana,MT,com,2016,1311.839080459771,120.00000000000009
Montana,MT,com,2018,3103.8517241379295,207.00000000000006
Montana,MT,res,2014,710.3448275862072,122.99999999999989
Montana,MT,res,2016,3619.7701149425293,542.0
Montana,MT,res,2018,7561.670114942532,1092.0000000000005
Nebraska,NE,com,2014,0.0,0.0
Nebraska,NE,com,2016,0.0,0.0
Nebraska,NE,com,2018,0.0,0.0
Nebraska,NE,res,2014,0.0,0.0
Nebraska,NE,res,2016,0.0,0.0
Nebraska,NE,res,2018,0.0,0.0
Nevada,NV,com,2014,63716.92799999998,740.0
Nevada,NV,com,2016,100483.60041379296,857.9999999999997
Nevada,NV,com,2018,113543.35098850599,916.9999999999992
Nevada,NV,res,2014,19480.601000000002,3667.999999999999
Nevada,NV,res,2016,155834.5929540228,23054.999999999967
Nevada,NV,res,2018,249853.71134482787,34992.000000000015
New Hampshire,NH,com,2014,7331.675,236.0
New Hampshire,NH,com,2016,22953.139999999996,648.0
New Hampshire,NH,com,2018,36570.475,1107.0
New Hampshire,NH,res,2014,4692.552,977.0
New Hampshire,NH,res,2016,33737.77011494248,4176.0
New Hampshire,NH,res,2018,54270.105747126334,6399.999999999998
New Jersey,NJ,com,2014,984780.0000000002,5688.999999999998
New Jersey,NJ,com,2016,1123651.7,6224.0
New Jersey,NJ,com,2018,1383526.55095541,7183.000000000001
New Jersey,NJ,res,2014,225789.99999999985,27910.0
New Jersey,NJ,res,2016,501593.93393442396,61727.999999999985
New Jersey,NJ,res,2018,773804.292836863,92353.99999999997
New Mexico,NM,com,2014,35995.319999999985,1319.0
New Mexico,NM,com,2016,42207.01399999999,1441.0
New Mexico,NM,com,2018,51813.153999999995,1538.0
New Mexico,NM,res,2014,28544.470724137944,5325.000000000003
New Mexico,NM,res,2016,54042.18444131691,10503.0
New Mexico,NM,res,2018,95006.19888959284,17750.99999999999
New York,NY,com,2014,171548.17799999987,3239.9999999999986
New York,NY,com,2016,317527.4535172411,4386.999999999998
New York,NY,com,2018,716867.9319080464,5584.0
New York,NY,res,2014,163152.19099999993,22346.000000000007
New York,NY,res,2016,533158.9168177834,69704.0
New York,NY,res,2018,809714.8268235312,105442.00000000007
North Carolina,NC,com,2014,99478.00000000006,286.0
North Carolina,NC,com,2016,117869.454545455,471.99999999999994
North Carolina,NC,com,2018,122435.85844155806,605.9999999999998
North Carolina,NC,res,2014,13956.397999999992,2461.9999999999995
North Carolina,NC,res,2016,31050.611376623394,5015.999999999997
North Carolina,NC,res,2018,64610.707480519384,9082.999999999998
North Dakota,ND,com,2014,0.0,0.0
North Dakota,ND,com,2016,0.0,0.0
North Dakota,ND,com,2018,0.0,0.0
North Dakota,ND,res,2014,0.0,0.0
North Dakota,ND,res,2016,0.0,0.0
North Dakota,ND,res,2018,0.0,0.0
Ohio,OH,com,2014,69065.803,670.0
Ohio,OH,com,2016,82874.14800000003,813.0
Ohio,OH,com,2018,103706.90800000002,932.0
Ohio,OH,res,2014,6198.0,971.9999999999999
Ohio,OH,res,2016,11411.52589938799,1492.9999999999995
Ohio,OH,res,2018,22650.467592177887,2779.9999999999995
Oklahoma,OK,com,2014,104.59770114942502,9.999999999999995
Oklahoma,OK,com,2016,248.275862068966,29.00000000000002
Oklahoma,OK,com,2018,2148.0586206896596,61.00000000000007
Oklahoma,OK,res,2014,489.6551724137931,123.99999999999996
Oklahoma,OK,res,2016,1104.597701149431,225.0
Oklahoma,OK,res,2018,3301.482183908048,475.9999999999998
Oregon,OR,com,2014,56056.54300000003,814.0
Oregon,OR,com,2016,58022.04500000001,931.0
Oregon,OR,com,2018,75289.96517241387,1116.0000000000002
Oregon,OR,res,2014,31720.000000000007,7940.999999999996
Oregon,OR,res,2016,54859.999999999985,11995.000000000004
Oregon,OR,res,2018,86949.55862068958,16592.999999999996
Pennsylvania,PA,com,2014,171379.12399999995,2406.9999999999995
Pennsylvania,PA,com,2016,197336.72410046583,2667.0000000000014
Pennsylvania,PA,com,2018,223393.76160377494,2844.0
Pennsylvania,PA,res,2014,51846.304000000026,7066.999999999998
