state_abbr,sector_abbr,year,observed_solar_mw,observed_solar_count,observed_storage_mw,observed_storage_mwh
IL,res,2016,9.293899999999997,1626.0000000000002,0.109090909,0.16969697
IL,res,2018,22.930641954023,3071.0000000000014,0.796969697,1.654545455
IN,com,2014,5.098000000000002,67.99999999999997,0.025757576,0.059090909
IN,com,2016,12.527999999999999,160.0,0.063636364,0.14242424199999998
IN,com,2018,60.56109361098668,400.00000000000017,0.110606061,0.257575758
IN,res,2014,1.1609999999999998,177.99999999999991,0.003030303,0.003030303
IN,res,2016,4.600999999999999,535.9999999999999,0.109090909,0.16969697
IN,res,2018,17.8656560904613,1750.0000000000016,0.796969697,1.654545455
KS,com,2014,0.22585,8.0,0.025757576,0.059090909
KS,com,2016,0.22585,8.0,0.063636364,0.14242424199999998
KS,com,2018,0.53677,17.0,0.110606061,0.257575758
KS,res,2014,0.11687,28.0,0.003030303,0.003030303
KS,res,2016,0.23984,47.0,0.109090909,0.16969697
KS,res,2018,0.6528699999999998,97.0,0.796969697,1.654545455
KY,com,2014,0.2252873563218389,8.999999999999996,0.071428571,0.114285714
KY,com,2016,0.6390804597701152,38.999999999999964,0.157142857,0.185714286
KY,com,2018,12.536984430512,107.99999999999996,0.792857143,1.428571429
KY,res,2014,0.3390804597701149,32.99999999999999,0.0,0.0
KY,res,2016,1.8183908045977,198.00000000000009,0.0,0.0
KY,res,2018,4.951753803552769,470.00000000000017,0.14285714300000002,0.314285714
LA,com,2014,0.8850000000000002,33.00000000000001,0.025757576,0.059090909
LA,com,2016,1.6269999999999984,65.00000000000001,0.063636364,0.14242424199999998
LA,com,2018,7.342566091954019,238.99999999999991,0.110606061,0.257575758
LA,res,2014,29.77799999999998,5325.000000000003,0.003030303,0.003030303
LA,res,2016,74.13999999999999,11275.000000000002,0.109090909,0.16969697
LA,res,2018,88.9200264462031,14041.000000000007,0.796969697,1.654545455
MA,com,2014,526.685112,2297.0,0.0,0.0
MA,com,2016,935.240125,3160.0,0.0,0.0
MA,com,2018,1737.6246149253795,4353.0,0.2,0.35
MA,res,2014,125.45032199999993,19423.0,0.0,0.0
MA,res,2016,440.30368952497,62208.00000000003,0.2,0.2
MA,res,2018,619.755012249999,85344.0,0.6,0.9
MD,com,2014,121.63065999999986,765.9999999999997,0.071428571,0.114285714
MD,com,2016,224.017763448276,1223.9999999999995,0.157142857,0.185714286
MD,com,2018,305.37204275862103,1472.9999999999998,0.792857143,1.428571429
MD,res,2014,70.69299999999998,8730.000000000002,0.0,0.0
MD,res,2016,379.263948275862,39851.99999999997,0.0,0.0
MD,res,2018,574.5963816521411,60507.0,0.14285714300000002,0.314285714
ME,com,2014,3.028169,482.0,0.025757576,0.059090909
ME,com,2016,3.028169,482.0,0.063636364,0.14242424199999998
ME,com,2018,3.028169,482.0,0.110606061,0.257575758
ME,res,2014,0.0,0.0,0.003030303,0.003030303
ME,res,2016,0.0,0.0,0.109090909,0.16969697
ME,res,2018,0.0,0.0,0.796969697,1.654545455
MI,com,2014,6.0509999999999975,248.99999999999991,0.025757576,0.059090909
MI,com,2016,14.571,366.00000000000017,0.063636364,0.14242424199999998
MI,com,2018,22.508120689655208,523.9999999999999,0.110606061,0.257575758
MI,res,2014,8.404000000000002,1164.9999999999995,0.003030303,0.003030303
MI,res,2016,14.310466709483295,1864.0000000000007,0.109090909,0.16969697
MI,res,2018,29.57131670948328,4129.999999999998,0.796969697,1.654545455
MN,com,2014,13.755130999999995,392.99999999999926,0.025757576,0.059090909
MN,com,2016,78.95672640229888,758.0000000000006,0.063636364,0.14242424199999998
MN,com,2018,630.4837212298847,1695.0000000000016,0.110606061,0.257575758
MN,res,2014,4.063764531250002,672.9999999999999,0.003030303,0.003030303
MN,res,2016,12.2530636117098,1781.9999999999993,0.109090909,0.16969697
MN,res,2018,27.748214761135106,3488.0,0.796969697,1.654545455
MO,com,2014,54.39600000000003,2205.0000000000005,0.025757576,0.059090909
MO,com,2016,70.55146000000002,2929.9999999999995,0.063636364,0.14242424199999998
MO,com,2018,82.74396316091956,3122.0,0.110606061,0.257575758
MO,res,2014,37.486,3446.000000000003,0.003030303,0.003030303
MO,res,2016,54.19180300000002,4962.999999999999,0.109090909,0.16969697
MO,res,2018,73.90396300000005,6721.999999999996,0.796969697,1.654545455
MS,com,2014,0.2999999999999999,4.0,0.025757576,0.059090909
MS,com,2016,0.66394,9.000000000000004,0.063636364,0.14242424199999998
MS,com,2018,1.9609399999999988,34.99999999999999,0.110606061,0.257575758
MS,res,2014,0.24644999999999986,18.000000000000004,0.003030303,0.003030303
MS,res,2016,0.4033299999999999,46.99999999999999,0.109090909,0.16969697
